fetched_at_utc,block_from,block_date,area,acp_rs_mwh
2026-08-06 16:56:58,22:15,06 AUG 2026,MPD,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,MZM,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,NGD,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,ODI,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,PNB,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,PU,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,RJ,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,SKM,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,TLG,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,TND,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,TPA,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,UP,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,UTK,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,UTL,10000.0
2026-08-18 09:41:28,15:00,18 AUG 2026,ACP,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,AP,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,ASM,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,BGL,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,BHR,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,CHG,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,CTG,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,DL,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,DND,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,DNH,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,GJT,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,GOA,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,HP,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,HRN,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,JAK,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,JHK,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,KRL,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,KRT,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,MGA,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,MHA,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,MIP,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,MPD,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,MZM,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,NGD,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,ODI,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,PNB,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,PU,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,RJ,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,SKM,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,TLG,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,TND,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,TPA,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,UP,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,UTK,1760.9
2026-08-18 09:41:28,15:00,18 AUG 2026,UTL,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,ACP,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,AP,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,ASM,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,BGL,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,BHR,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,CHG,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,CTG,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,DL,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,DND,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,DNH,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,GJT,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,GOA,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,HP,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,HRN,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,JAK,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,JHK,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,KRL,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,KRT,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,MGA,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,MHA,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,MIP,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,MPD,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,MZM,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,NGD,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,ODI,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,PNB,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,PU,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,RJ,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,SKM,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,TLG,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,TND,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,TPA,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,UP,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,UTK,1760.9
2026-08-18 09:41:59,15:00,18 AUG 2026,UTL,1760.9
