fetched_at_utc,code,demand_mw,own_gen_mw,import_mw
2026-08-18 11:26:27,UP,"20,886","12,620","8,266"
2026-08-18 11:26:27,UK,"1,997",821,"1,176"
2026-08-18 11:26:27,HP,"1,238","1,940",-702
2026-08-18 11:26:27,CH,306,,306
2026-08-18 11:26:27,MH,"25,427","17,065","8,362"
2026-08-18 11:26:27,GJ,"22,437","15,639","6,798"
2026-08-18 11:26:27,MP,"11,008","4,566","6,442"
2026-08-18 11:26:27,CT,"4,729","1,977","2,752"
2026-08-18 11:26:27,GA,570,,570
2026-08-18 11:26:27,TN,"20,200","12,917","7,283"
2026-08-18 11:26:27,KA,"13,327","7,815","5,512"
2026-08-18 11:26:27,TG,"14,777","6,709","8,068"
2026-08-18 11:26:27,AP,"12,487","7,998","4,489"
2026-08-18 11:26:27,KL,"3,828",545,"3,283"
2026-08-18 11:26:27,WB,"8,973","5,103","3,870"
2026-08-18 11:26:27,BR,"6,065",913,"5,152"
2026-08-18 11:26:27,OD,"5,269","3,260","2,009"
2026-08-18 11:26:27,JH,"1,587",409,"1,178"
2026-08-18 11:26:27,AS,"2,301",228,"2,073"
2026-08-18 11:38:32,DL,"6,892",507,"6,385"
2026-08-18 11:38:32,HR,"12,602","2,500","10,102"
2026-08-18 11:38:32,PB,"15,270","4,951","10,319"
2026-08-18 11:38:32,RJ,"14,605","10,595","4,010"
2026-08-18 11:38:32,UP,"20,546","12,839","7,707"
2026-08-18 11:38:32,UK,"1,992",822,"1,170"
2026-08-18 11:38:32,HP,"1,217","1,971",-754
2026-08-18 11:38:32,CH,300,,300
2026-08-18 11:38:32,MH,"24,906","16,728","8,178"
2026-08-18 11:38:32,GJ,"22,501","15,130","7,371"
2026-08-18 11:38:32,MP,"11,133","4,606","6,527"
2026-08-18 11:38:32,CT,"4,707","2,031","2,676"
2026-08-18 11:38:32,GA,569,,569
2026-08-18 11:38:32,TN,"20,300","12,853","7,447"
2026-08-18 11:38:32,KA,"13,137","7,611","5,526"
2026-08-18 11:38:32,TG,"14,272","6,629","7,643"
2026-08-18 11:38:32,AP,"11,729","7,721","4,008"
2026-08-18 11:38:32,KL,"3,897",530,"3,367"
2026-08-18 11:38:32,WB,"8,951","5,137","3,814"
2026-08-18 11:38:32,BR,"6,199",910,"5,289"
2026-08-18 11:38:32,OD,"5,059","3,260","1,799"
2026-08-18 11:38:32,JH,"1,573",409,"1,164"
2026-08-18 11:38:32,AS,"2,251",221,"2,030"
