fetched_at_utc,source_updated,frequency_hz,demand_met_mw,schedule_mw,drawal_mw,deviation_signed_mw,deviation_published_mw
2026-08-18 09:41:27,18-08-2026 15:09:20,49.99,15294.0,10750.0,10430.0,-320.0,-320.0
2026-08-18 09:41:58,18-08-2026 15:09:20,49.99,15294.0,10750.0,10430.0,-320.0,-320.0
2026-08-18 11:26:57,18-08-2026 16:54:50,49.9,15113.0,10746.0,10145.0,-601.0,-602.0
2026-08-18 11:38:44,18-08-2026 17:05:46,50.03,15320.0,10717.0,10379.0,-338.0,-338.0
