latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,
28.646748,77.2748,231,0,GMT,GMT,,,,
,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),cloud_cover (%),surface_pressure (hPa),wind_speed_10m (km/h),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²)
2021-06-01T00:00,22.4,96,0,975,11.2,0,0,0,0
2021-06-01T01:00,23,94,70,976.1,9.7,25,3,22,22.9
2021-06-01T02:00,24.4,87,7,976.9,9,131,24,107,73.8
2021-06-01T03:00,26.5,79,4,977.5,9,349,180,169,341.6
2021-06-01T04:00,28.4,72,4,977.8,10.2,523,313,210,444
2021-06-01T05:00,30.3,65,10,977.7,11.2,676,440,236,519.5
2021-06-01T06:00,31.9,57,13,977.5,8.2,757,498,259,527.7
2021-06-01T07:00,32.8,52,16,977,4.2,756,491,265,496.8
2021-06-01T08:00,33.6,50,43,976.6,4,783,513,270,524.5
2021-06-01T09:00,32.5,53,78,976.6,7.2,626,353,273,386.5
2021-06-01T10:00,32.8,52,71,975.7,4,435,179,256,224.1
2021-06-01T11:00,32.8,54,95,975.6,7.3,399,171,228,266.4
2021-06-01T12:00,31,56,94,975.4,7.7,178,24,154,52.9
2021-06-01T13:00,30,66,0,975.8,2.8,121,35,86,141.8
2021-06-01T14:00,27.8,75,0,976.1,5.8,16,2,14,22
2021-06-01T15:00,27.2,79,0,976.5,5.1,0,0,0,0
2021-06-01T16:00,27.4,76,0,977.3,0.8,0,0,0,0
2021-06-01T17:00,26.8,80,1,977.7,1.9,0,0,0,0
2021-06-01T18:00,26.3,84,2,977.8,1.6,0,0,0,0
2021-06-01T19:00,25.1,91,34,977.6,2.6,0,0,0,0
2021-06-01T20:00,24.8,92,40,977.5,2.7,0,0,0,0
2021-06-01T21:00,24.9,89,42,977.1,5.5,0,0,0,0
2021-06-01T22:00,24.4,89,86,978.9,11.2,0,0,0,0
2021-06-01T23:00,23.5,88,87,977.7,7.1,0,0,0,0
2021-06-02T00:00,24,96,100,977.4,7.3,0,0,0,0
2021-06-02T01:00,25.5,87,85,978.7,2.2,41,6,35,45.8
2021-06-02T02:00,27.1,79,13,979.6,5.9,157,40,117,122.8
2021-06-02T03:00,28.8,67,1,979.4,6.2,350,184,166,349
2021-06-02T04:00,30,62,27,979.4,4.8,541,330,211,468.1
2021-06-02T05:00,31.2,59,86,979.2,4.7,686,440,246,519.4
2021-06-02T06:00,32.2,56,2,978.9,2,793,518,275,548.8
2021-06-02T07:00,33,53,1,978.3,2.5,854,589,265,595.8
2021-06-02T08:00,33.8,50,2,977.9,0.7,840,579,261,591.8
2021-06-02T09:00,34.3,46,12,977.3,2.5,752,506,246,553.7
2021-06-02T10:00,34.3,45,16,976.7,5,609,381,228,476.6
2021-06-02T11:00,34.2,45,48,976.5,8.2,457,259,198,402.9
2021-06-02T12:00,33,47,36,976.7,6.9,211,84,127,184.7
2021-06-02T13:00,32,56,47,977.1,3.5,108,22,86,88.6
2021-06-02T14:00,30,65,0,977.3,5.9,16,1,15,10.9
2021-06-02T15:00,29,67,34,978,6.3,0,0,0,0
2021-06-02T16:00,28.6,62,26,978.7,9.7,0,0,0,0
2021-06-02T17:00,28.5,59,4,979.3,12.4,0,0,0,0
2021-06-02T18:00,27.7,66,1,979.2,10.8,0,0,0,0
2021-06-02T19:00,27,72,1,979,8,0,0,0,0
2021-06-02T20:00,26.3,77,1,978.6,6.5,0,0,0,0
2021-06-02T21:00,25.5,82,1,978.3,5.1,0,0,0,0
2021-06-02T22:00,25,86,2,978,5.6,0,0,0,0
2021-06-02T23:00,24.9,88,2,978.2,6.2,0,0,0,0
2021-06-03T00:00,25.2,86,2,978.6,1.8,0,0,0,0
2021-06-03T01:00,26.1,82,34,979.3,2.9,41,5,36,38.2
2021-06-03T02:00,27.8,75,2,979.8,3.7,174,59,115,181
2021-06-03T03:00,29.8,67,1,980.2,2.9,357,188,169,356.6
2021-06-03T04:00,31.5,58,0,980.5,3.8,540,330,210,468.1
2021-06-03T05:00,33,51,0,980.5,4.4,696,459,237,541.8
2021-06-03T06:00,33.8,47,3,980.2,4.7,806,551,255,583.7
2021-06-03T07:00,34.4,44,10,979.7,4.7,833,569,264,575.4
2021-06-03T08:00,34.8,42,15,978.9,4.7,790,528,262,539.5
2021-06-03T09:00,35,40,22,978.4,3.7,706,452,254,494.3
2021-06-03T10:00,34.9,39,14,977.9,3.3,581,356,225,444.9
2021-06-03T11:00,34.7,40,13,977.4,4.7,430,233,197,361.8
2021-06-03T12:00,34.2,42,32,977.5,6.8,267,125,142,274
2021-06-03T13:00,32.2,53,12,977.9,6.5,120,35,85,140.1
2021-06-03T14:00,30,59,71,978.2,5.8,17,2,15,21.6
2021-06-03T15:00,29.7,60,19,978.9,8.2,0,0,0,0
2021-06-03T16:00,28.8,66,93,979.7,8,0,0,0,0
2021-06-03T17:00,28.2,70,88,980.2,7.2,0,0,0,0
2021-06-03T18:00,27.6,74,83,980.2,5.6,0,0,0,0
2021-06-03T19:00,27,77,20,979.9,5.1,0,0,0,0
2021-06-03T20:00,26.2,82,2,979.4,5,0,0,0,0
2021-06-03T21:00,25.6,85,2,979.1,7.1,0,0,0,0
2021-06-03T22:00,25.4,86,3,979,6.6,0,0,0,0
2021-06-03T23:00,24.9,87,3,979.1,5.6,0,0,0,0
2021-06-04T00:00,25.5,81,2,979.2,5.4,0,0,0,0
2021-06-04T01:00,26.9,74,21,979.9,5.7,44,7,37,53.4
2021-06-04T02:00,28.5,66,60,980.6,6.4,171,58,113,177.8
2021-06-04T03:00,30.5,60,90,981,5.8,298,109,189,206.7
2021-06-04T04:00,32,55,59,981.2,4.7,411,140,271,198.6
2021-06-04T05:00,33.2,51,27,981.2,3.7,557,257,300,303.4
2021-06-04T06:00,34.5,47,10,980.9,3.7,785,521,264,551.9
2021-06-04T07:00,35,44,12,980.1,3.1,810,546,264,552.1
2021-06-04T08:00,35.6,41,11,979.2,4.4,791,527,264,538.2
2021-06-04T09:00,35.7,40,10,978.1,5.1,722,472,250,515.9
2021-06-04T10:00,35.8,39,42,977.3,5.1,603,380,223,474.4
2021-06-04T11:00,34.8,41,47,977.3,5.8,419,229,190,355.1
2021-06-04T12:00,34,46,39,976.8,5,232,89,143,194.6
2021-06-04T13:00,32.5,53,10,977,7.9,98,24,74,95.5
2021-06-04T14:00,30.5,61,17,977.1,7.2,16,2,14,21.4
2021-06-04T15:00,29.1,69,48,977.5,4.7,0,0,0,0
2021-06-04T16:00,28.8,73,18,978.1,4.7,0,0,0,0
2021-06-04T17:00,28.2,73,7,978.2,5,0,0,0,0
2021-06-04T18:00,27.5,76,6,977.9,7.2,0,0,0,0
2021-06-04T19:00,27,77,5,977.4,6.6,0,0,0,0
2021-06-04T20:00,26.5,80,3,977,6.7,0,0,0,0
2021-06-04T21:00,26,82,3,976.5,6.3,0,0,0,0
2021-06-04T22:00,25.9,82,3,976.7,5.8,0,0,0,0
2021-06-04T23:00,25.4,85,3,977,5.4,0,0,0,0
2021-06-05T00:00,25.6,86,7,977.5,8,0,0,0,0
2021-06-05T01:00,26.4,75,24,978.8,11.5,42,6,36,45.7
2021-06-05T02:00,28,66,22,979.4,10.6,168,57,111,174.7
2021-06-05T03:00,29.9,59,16,979.2,14.1,335,166,169,314.8
2021-06-05T04:00,31.8,53,4,979.3,14.8,517,303,214,429.8
2021-06-05T05:00,33.5,48,5,979.5,13.7,684,449,235,530.1
2021-06-05T06:00,34.7,45,1,979.2,12,785,527,258,558.3
2021-06-05T07:00,35.4,43,9,978.6,10.1,849,586,263,592.4
2021-06-05T08:00,35.8,41,33,977.7,7.9,827,558,269,569.7
2021-06-05T09:00,35.8,41,31,976.8,11.2,713,432,281,471.9
2021-06-05T10:00,35.2,42,43,976.2,9.1,488,262,226,326.8
2021-06-05T11:00,35.2,42,15,975.6,11.5,410,207,203,320.4
2021-06-05T12:00,34.4,46,1,975.4,12,273,125,148,272.5
2021-06-05T13:00,33.2,51,5,975.8,8.9,118,33,85,130.6
2021-06-05T14:00,31,60,5,976.2,6.4,17,2,15,21.2
2021-06-05T15:00,30.2,66,6,976.8,6.8,0,0,0,0
2021-06-05T16:00,29.5,71,5,977.1,6.1,0,0,0,0
2021-06-05T17:00,28.4,73,8,977.3,5.6,0,0,0,0
2021-06-05T18:00,27.8,76,18,977.3,4.7,0,0,0,0
2021-06-05T19:00,27.3,78,10,977.1,4.3,0,0,0,0
2021-06-05T20:00,27,79,4,976.7,4.6,0,0,0,0
2021-06-05T21:00,26.2,84,3,976.5,4,0,0,0,0
2021-06-05T22:00,25.9,87,9,976.7,4.4,0,0,0,0
2021-06-05T23:00,26.4,83,2,977.2,3.3,0,0,0,0
2021-06-06T00:00,25.4,90,2,977.7,5.4,0,0,0,0
2021-06-06T01:00,27,82,2,978.4,1.5,44,7,37,53.3
2021-06-06T02:00,29.1,67,1,979,4.5,176,64,112,196.1
2021-06-06T03:00,30.9,56,0,979.2,4.7,355,187,168,354.7
2021-06-06T04:00,32.5,50,0,979.2,5.3,538,330,208,468.2
2021-06-06T05:00,34,44,0,979,6.2,695,458,237,540.7
2021-06-06T06:00,35.2,40,0,978.6,8.2,807,553,254,585.8
2021-06-06T07:00,36.2,37,4,977.8,9.7,861,597,264,603.5
2021-06-06T08:00,37.1,34,13,976.7,10.7,832,569,263,580.8
2021-06-06T09:00,37.5,32,5,975.7,12.3,708,460,248,502.1
2021-06-06T10:00,37.6,30,8,974.9,13.7,610,384,226,478.5
2021-06-06T11:00,37.3,30,15,974.3,14.8,457,264,193,408
2021-06-06T12:00,36,40,16,974.7,5.2,269,123,146,267.4
2021-06-06T13:00,34.5,44,14,974.8,7.3,109,30,79,118
2021-06-06T14:00,33.1,49,28,975,9.4,16,2,14,21.1
2021-06-06T15:00,31.1,61,14,975,6.6,0,0,0,0
2021-06-06T16:00,32,55,7,975.6,4.3,0,0,0,0
2021-06-06T17:00,29.5,67,3,976,5.8,0,0,0,0
2021-06-06T18:00,29,67,1,975.8,5.1,0,0,0,0
2021-06-06T19:00,29,66,1,975.5,4.7,0,0,0,0
2021-06-06T20:00,29.5,62,1,975.2,2.4,0,0,0,0
2021-06-06T21:00,28.2,70,0,974.6,2.9,0,0,0,0
2021-06-06T22:00,27.1,76,0,974.6,5.4,0,0,0,0
2021-06-06T23:00,26.4,79,0,974.8,6.2,0,0,0,0
2021-06-07T00:00,26.5,80,0,975.4,5.5,0,0,0,0
2021-06-07T01:00,28,73,0,976.2,6.6,45,7,38,53.3
2021-06-07T02:00,29.9,64,0,976.8,5.4,177,65,112,199.2
2021-06-07T03:00,32,55,0,977.1,6.6,356,188,168,356.6
2021-06-07T04:00,33.8,50,0,977.1,8,537,329,208,466.8
2021-06-07T05:00,35.3,45,0,977.1,7.2,694,458,236,540.8
2021-06-07T06:00,36.6,40,9,976.6,8,804,550,254,582.6
2021-06-07T07:00,37.7,36,23,975.9,10.3,840,574,266,580.1
2021-06-07T08:00,38.5,34,25,975,12.8,781,501,280,511.2
2021-06-07T09:00,38.7,33,29,974.2,12.7,699,439,260,478.9
2021-06-07T10:00,36.3,37,36,973.9,15.6,548,314,234,390.9
2021-06-07T11:00,37.1,35,19,973,6.5,398,202,196,311.7
2021-06-07T12:00,36.5,38,26,972.2,6.2,272,123,149,266.7
2021-06-07T13:00,35,45,12,972.5,6.2,119,33,86,129.1
2021-06-07T14:00,32.5,54,7,972.7,5.4,17,2,15,20.9
2021-06-07T15:00,31.7,56,6,973,6.5,0,0,0,0
2021-06-07T16:00,30.5,58,4,973.5,6.4,0,0,0,0
2021-06-07T17:00,29.8,62,2,973.9,7.4,0,0,0,0
2021-06-07T18:00,29.7,59,0,973.8,5.4,0,0,0,0
2021-06-07T19:00,29.4,59,0,973.2,6.2,0,0,0,0
2021-06-07T20:00,29.1,60,0,972.6,6.4,0,0,0,0
2021-06-07T21:00,29,59,0,972.3,7.4,0,0,0,0
2021-06-07T22:00,28.9,58,0,972.3,8.7,0,0,0,0
2021-06-07T23:00,28.6,58,0,972.6,9.4,0,0,0,0
2021-06-08T00:00,30,52,0,972.9,14.8,0,0,0,0
2021-06-08T01:00,30.8,48,20,973.7,14.5,42,7,35,53.3
2021-06-08T02:00,32.4,44,18,974.4,16.4,161,54,107,165.5
2021-06-08T03:00,34.4,40,12,974.9,19.6,323,159,164,301.7
2021-06-08T04:00,36,38,9,975.3,24.3,519,300,219,425.8
2021-06-08T05:00,37.6,36,7,975.3,26.3,677,434,243,512.5
2021-06-08T06:00,39,32,30,974.8,25,781,524,257,555.1
2021-06-08T07:00,39.7,29,19,974.1,23.5,739,476,263,481
2021-06-08T08:00,40.3,28,15,973.1,21.9,754,487,267,496.8
2021-06-08T09:00,40.7,27,15,972.1,21.2,718,460,258,501.6
2021-06-08T10:00,40.8,27,17,971.2,20.6,584,357,227,444
2021-06-08T11:00,40.6,27,14,970.4,19.8,436,245,191,377.5
2021-06-08T12:00,39.4,29,11,970.2,15,273,126,147,272.5
2021-06-08T13:00,37.8,32,3,970,10.2,125,36,89,140.1
2021-06-08T14:00,35,38,2,970,8.5,19,2,17,20.8
2021-06-08T15:00,34.1,41,0,970.3,7.6,0,0,0,0
2021-06-08T16:00,33.4,41,0,970.8,7.6,0,0,0,0
2021-06-08T17:00,32.8,42,0,971.1,9.1,0,0,0,0
2021-06-08T18:00,32.2,42,0,971.2,10.2,0,0,0,0
2021-06-08T19:00,31.8,41,0,970.8,10.8,0,0,0,0
2021-06-08T20:00,31.2,41,0,970.7,11.8,0,0,0,0
2021-06-08T21:00,30.8,39,0,970.7,15.3,0,0,0,0
2021-06-08T22:00,31,38,0,970.8,16.2,0,0,0,0
2021-06-08T23:00,31.5,39,0,971.2,19.7,0,0,0,0
2021-06-09T00:00,31,48,0,971.4,16.6,0,0,0,0
2021-06-09T01:00,32.1,49,5,971.8,17.7,45,7,38,53.4
2021-06-09T02:00,33.5,48,8,972.3,16.4,175,62,113,190.1
2021-06-09T03:00,34.9,45,9,972.6,19.3,335,169,166,320.8
2021-06-09T04:00,36.5,42,3,972.8,19.7,507,297,210,421.7
2021-06-09T05:00,38.2,38,0,972.8,18.6,687,451,236,532.7
2021-06-09T06:00,39.8,34,18,972.6,16.8,799,545,254,577.4
2021-06-09T07:00,40.6,31,15,971.9,15.7,787,522,265,527.5
2021-06-09T08:00,41.1,29,35,971.3,13.5,775,510,265,520.1
2021-06-09T09:00,41.3,28,35,970.5,14,680,426,254,464.2
2021-06-09T10:00,41.2,27,36,969.9,16.2,564,330,234,410
2021-06-09T11:00,40.8,28,69,969.1,17.1,393,199,194,306.2
2021-06-09T12:00,40.1,32,44,968.9,4,221,80,141,172.6
2021-06-09T13:00,37.6,55,32,969.1,4.9,123,35,88,135.5
2021-06-09T14:00,36,42,97,969.7,4.7,18,2,16,20.6
2021-06-09T15:00,35,51,12,970.5,16.6,0,0,0,0
2021-06-09T16:00,33.8,53,2,970.8,17.1,0,0,0,0
2021-06-09T17:00,33.2,55,0,971.3,12.5,0,0,0,0
2021-06-09T18:00,32.5,58,13,971.5,13.3,0,0,0,0
2021-06-09T19:00,32,59,29,971.1,14.3,0,0,0,0
2021-06-09T20:00,31.6,60,80,971.2,14,0,0,0,0
2021-06-09T21:00,31.3,61,88,971.2,13.7,0,0,0,0
2021-06-09T22:00,30.5,64,27,971.6,16.9,0,0,0,0
2021-06-09T23:00,29.3,70,15,971.9,19.1,0,0,0,0
2021-06-10T00:00,29.6,72,6,971.3,12.2,0,0,0,0
2021-06-10T01:00,30.1,70,5,971.9,16.1,38,6,32,45.8
2021-06-10T02:00,30.5,69,1,972.6,17.9,169,60,109,184.1
2021-06-10T03:00,30.8,70,11,973.6,22.4,347,180,167,341.8
2021-06-10T04:00,31.8,65,6,973.6,21.6,494,288,206,409
2021-06-10T05:00,33.2,60,2,974,19.1,657,422,235,498.6
2021-06-10T06:00,34.6,55,3,974.1,18,775,521,254,552
2021-06-10T07:00,35.9,50,39,973.2,10.9,806,538,268,543.6
2021-06-10T08:00,36.5,48,83,972.3,6.5,696,440,256,448.6
2021-06-10T09:00,36.6,47,59,971.4,7.8,559,244,315,265.8
2021-06-10T10:00,36.8,46,6,970.4,10.8,546,319,227,396
2021-06-10T11:00,37,45,10,969.8,11.1,454,262,192,402.6
2021-06-10T12:00,33.5,58,18,970.1,20.3,264,123,141,264.7
2021-06-10T13:00,32.8,60,17,969.8,19.8,119,32,87,123.3
2021-06-10T14:00,32,63,4,970.2,19.8,19,2,17,20.5
2021-06-10T15:00,31,65,2,970.8,18.8,0,0,0,0
2021-06-10T16:00,30.5,66,1,971.6,18.5,0,0,0,0
2021-06-10T17:00,30,68,2,972.3,16.2,0,0,0,0
2021-06-10T18:00,29.5,70,3,972.8,15.5,0,0,0,0
2021-06-10T19:00,29,73,11,972.5,16.3,0,0,0,0
2021-06-10T20:00,28.4,76,55,971.8,16.5,0,0,0,0
2021-06-10T21:00,28,77,43,971.2,14.8,0,0,0,0
2021-06-10T22:00,27.7,78,59,971.3,14.3,0,0,0,0
2021-06-10T23:00,27.5,79,27,972.1,16.2,0,0,0,0
2021-06-11T00:00,26.9,79,29,971.8,13.2,0,0,0,0
2021-06-11T01:00,27,79,72,972.6,14.1,42,5,37,38.2
2021-06-11T02:00,28.3,73,89,973.1,13.4,128,27,101,82.9
2021-06-11T03:00,29.9,67,93,973.9,12.2,260,60,200,114
2021-06-11T04:00,31.2,62,95,974.2,12.1,403,142,261,201.8
2021-06-11T05:00,32,59,90,973.9,10.2,413,122,291,144.2
2021-06-11T06:00,33.8,54,88,973.4,7.8,698,358,340,379.3
2021-06-11T07:00,35.2,49,94,972.6,5.6,780,453,327,457.7
2021-06-11T08:00,36,47,91,971.7,3.6,753,427,326,435.2
2021-06-11T09:00,36.1,47,85,970.8,8.2,607,257,350,279.8
2021-06-11T10:00,35.8,48,49,969.8,8.6,489,232,257,287.8
2021-06-11T11:00,35.8,48,26,968.9,9,430,233,197,357.5
2021-06-11T12:00,35.6,48,22,968.8,12.4,281,129,152,277
2021-06-11T13:00,34.6,51,11,968.9,13.6,121,33,88,126.6
2021-06-11T14:00,33.2,56,9,969.6,17.4,19,2,17,20.4
2021-06-11T15:00,32.1,59,5,970.3,16.6,0,0,0,0
2021-06-11T16:00,31.5,60,3,971.1,13.3,0,0,0,0
2021-06-11T17:00,31,62,2,971.6,14.9,0,0,0,0
2021-06-11T18:00,30.5,66,2,971.7,14.6,0,0,0,0
2021-06-11T19:00,30,67,1,971.8,12.9,0,0,0,0
2021-06-11T20:00,29.8,68,27,971.6,11.9,0,0,0,0
2021-06-11T21:00,29.6,68,20,971.3,11,0,0,0,0
2021-06-11T22:00,29.2,69,13,970.9,11,0,0,0,0
2021-06-11T23:00,28.6,72,22,971.1,12.8,0,0,0,0
2021-06-12T00:00,28.3,74,28,971.5,15.3,0,0,0,0
2021-06-12T01:00,29,72,5,972.2,14.9,43,7,36,53.5
2021-06-12T02:00,30,68,2,973.5,18.4,170,59,111,181.3
2021-06-12T03:00,31.3,64,7,974.2,21.6,345,177,168,336.5
2021-06-12T04:00,32.6,59,4,974.6,22.1,513,301,212,427.8
2021-06-12T05:00,34,54,19,974.4,20.6,664,420,244,496.5
2021-06-12T06:00,35.5,49,17,974.2,15.9,768,501,267,530.9
2021-06-12T07:00,36.2,47,22,973.6,13.5,746,488,258,493
2021-06-12T08:00,36.5,46,23,972.8,14.4,710,450,260,458.5
2021-06-12T09:00,36.5,47,27,972,16.3,629,395,234,429.8
2021-06-12T10:00,35.9,49,26,971.3,15.4,542,319,223,395.4
2021-06-12T11:00,35.7,49,21,970.6,16.9,415,230,185,352.4
2021-06-12T12:00,33.2,55,16,971,16.3,260,119,141,255
2021-06-12T13:00,32.4,57,13,971.4,15.3,114,31,83,118.4
2021-06-12T14:00,31.5,61,16,972,16,19,2,17,20.2
2021-06-12T15:00,30.5,65,17,972.8,17.4,0,0,0,0
2021-06-12T16:00,29.9,69,11,973.9,16.7,0,0,0,0
2021-06-12T17:00,29.2,72,34,974.6,16.8,0,0,0,0
2021-06-12T18:00,28.2,78,44,974.6,17.3,0,0,0,0
2021-06-12T19:00,27.4,84,42,974.4,16.1,0,0,0,0
2021-06-12T20:00,26.5,88,50,974.9,16.3,0,0,0,0
2021-06-12T21:00,26.2,88,27,974,14.4,0,0,0,0
2021-06-12T22:00,25.7,91,58,974.9,11.1,0,0,0,0
2021-06-12T23:00,25.5,93,45,974.3,10,0,0,0,0
2021-06-13T00:00,25.3,90,18,974.2,9.6,0,0,0,0
2021-06-13T01:00,26.3,85,0,974.5,11.1,43,7,36,53.5
2021-06-13T02:00,27.9,77,0,974.8,11.1,174,63,111,193.7
2021-06-13T03:00,29.6,69,0,974.8,10.2,352,184,168,350
2021-06-13T04:00,31.2,63,6,974.9,6.4,530,320,210,455.1
2021-06-13T05:00,32.5,58,14,974.8,5.8,671,426,245,503.7
2021-06-13T06:00,33.8,54,2,974.2,8.1,741,470,271,498.2
2021-06-13T07:00,34.8,50,5,974,5,836,570,266,575.9
2021-06-13T08:00,35.3,49,15,972.9,1.5,809,542,267,552.1
2021-06-13T09:00,35.7,48,15,971.7,0,716,461,255,501.4
2021-06-13T10:00,36,47,16,970.4,4.1,595,368,227,455.7
2021-06-13T11:00,36,46,12,969.9,2.2,457,265,192,405.6
2021-06-13T12:00,33,55,31,970.8,3.3,275,128,147,273.7
2021-06-13T13:00,32.7,56,4,971,2.2,121,33,88,125.5
2021-06-13T14:00,31.2,65,21,971.5,3.6,20,2,18,20.1
2021-06-13T15:00,30.5,67,44,972.4,7.3,0,0,0,0
2021-06-13T16:00,29.8,70,32,973.2,8.1,0,0,0,0
2021-06-13T17:00,29.1,71,35,973.8,9.8,0,0,0,0
2021-06-13T18:00,28.6,72,12,973.7,8,0,0,0,0
2021-06-13T19:00,28.1,75,9,973.5,6.5,0,0,0,0
2021-06-13T20:00,27.8,77,6,973.2,8.7,0,0,0,0
2021-06-13T21:00,27.6,79,4,972.7,9.8,0,0,0,0
2021-06-13T22:00,27.3,80,4,972.4,7.7,0,0,0,0
2021-06-13T23:00,27,80,23,972.3,7.1,0,0,0,0
2021-06-14T00:00,25.9,83,1,972.8,9.6,0,0,0,0
2021-06-14T01:00,26.6,80,2,973.3,10.2,44,7,37,53.6
2021-06-14T02:00,27.5,75,10,973.4,9.7,172,60,112,184.7
2021-06-14T03:00,28.9,70,6,973.4,7.2,334,164,170,312.2
2021-06-14T04:00,30.5,64,1,973.5,6.5,522,308,214,438.2
2021-06-14T05:00,32,59,0,973.3,5.1,686,447,239,528.7
2021-06-14T06:00,33.3,55,1,973,2.7,798,542,256,574.6
2021-06-14T07:00,34.4,51,11,972.2,2.8,840,575,265,580.9
2021-06-14T08:00,35.2,48,5,971.2,4.3,789,526,263,535.7
2021-06-14T09:00,35.8,45,11,970.4,4.7,741,489,252,531.6
2021-06-14T10:00,36,44,7,969.6,5.1,606,383,223,474
2021-06-14T11:00,36,44,11,969.1,7,461,268,193,409.7
2021-06-14T12:00,34.7,48,16,968.6,8.7,272,129,143,275.3
2021-06-14T13:00,33.8,51,23,968.5,8.6,115,32,83,121.2
2021-06-14T14:00,32.6,55,25,969,9.4,18,2,16,20
2021-06-14T15:00,31.8,57,18,969.6,12.2,0,0,0,0
2021-06-14T16:00,30.9,59,14,970.3,11.4,0,0,0,0
2021-06-14T17:00,30.2,61,12,970.8,11.1,0,0,0,0
2021-06-14T18:00,29.5,64,10,970.5,9.9,0,0,0,0
2021-06-14T19:00,28.9,67,11,970.2,8.6,0,0,0,0
2021-06-14T20:00,28.5,69,3,969.7,10,0,0,0,0
2021-06-14T21:00,28,71,3,969.2,8,0,0,0,0
2021-06-14T22:00,27.5,73,4,968.8,7.6,0,0,0,0
2021-06-14T23:00,27.2,74,1,968.7,5.8,0,0,0,0
2021-06-15T00:00,26.4,85,0,969.1,6.1,0,0,0,0
2021-06-15T01:00,27.3,81,15,969.2,7.3,32,5,27,38.4
2021-06-15T02:00,28.6,73,15,969.4,5.8,160,53,107,163.4
2021-06-15T03:00,30.1,66,45,969.8,4.8,323,159,164,302.9
2021-06-15T04:00,31.6,59,38,970.2,4.3,435,245,190,348.8
2021-06-15T05:00,32,56,49,970.1,4.3,558,299,259,353.8
2021-06-15T06:00,33.5,51,10,969.8,1.1,643,346,297,366.8
2021-06-15T07:00,35.2,47,39,969.2,5.5,800,522,278,527.3
2021-06-15T08:00,35.5,47,48,968.5,10.9,665,392,273,399.2
2021-06-15T09:00,35.5,46,41,967.5,9.8,562,299,263,324.9
2021-06-15T10:00,36.3,40,28,966.7,6.6,489,262,227,324
2021-06-15T11:00,36.8,38,27,966.1,7.8,407,214,193,326.7
2021-06-15T12:00,35.5,42,22,966.3,14.8,247,109,138,232.1
2021-06-15T13:00,33.2,49,65,967.4,17.3,102,27,75,101.9
2021-06-15T14:00,28.6,71,63,968.6,18.2,14,1,13,10
2021-06-15T15:00,27.5,85,97,968.8,7.8,0,0,0,0
2021-06-15T16:00,27.2,87,91,968.5,4.7,0,0,0,0
2021-06-15T17:00,27,87,8,969.2,2.5,0,0,0,0
2021-06-15T18:00,26.6,89,4,969.3,4,0,0,0,0
2021-06-15T19:00,26.4,92,15,969.7,4.6,0,0,0,0
2021-06-15T20:00,26.6,91,18,969.5,4.1,0,0,0,0
2021-06-15T21:00,26.3,93,20,969.5,3.1,0,0,0,0
2021-06-15T22:00,26.2,92,51,969.6,7.1,0,0,0,0
2021-06-15T23:00,26,93,8,969.2,1.5,0,0,0,0
2021-06-16T00:00,25.7,90,44,970,9.3,0,0,0,0
2021-06-16T01:00,26.5,85,9,970.7,12.4,40,6,34,46.1
2021-06-16T02:00,27.6,76,35,971.4,12.6,162,54,108,166.7
2021-06-16T03:00,29,70,26,971.9,12.7,290,128,162,244.1
2021-06-16T04:00,30.8,64,35,972,12.3,435,231,204,329
2021-06-16T05:00,31.4,64,50,972.4,10,464,190,274,224.9
2021-06-16T06:00,32.7,58,55,972.4,9.4,623,353,270,374.3
2021-06-16T07:00,33.2,56,52,972,9,584,305,279,308.1
2021-06-16T08:00,34.1,54,64,971.3,6.5,607,328,279,333.9
2021-06-16T09:00,35,49,84,970.7,4.6,636,358,278,388.9
2021-06-16T10:00,35.2,45,53,970.1,3.1,502,254,248,313.9
2021-06-16T11:00,29.9,71,100,970.7,12,289,130,159,198.3
2021-06-16T12:00,30.1,67,37,970.8,8.7,141,31,110,65.9
2021-06-16T13:00,30,68,7,971.1,7.4,119,34,85,127.8
2021-06-16T14:00,28.8,75,17,971.3,4.1,20,2,18,19.8
2021-06-16T15:00,28.5,77,18,972.2,6.8,0,0,0,0
2021-06-16T16:00,28.2,78,16,973,10.5,0,0,0,0
2021-06-16T17:00,27.8,79,13,973.7,10.8,0,0,0,0
2021-06-16T18:00,27.4,81,18,973.7,8.4,0,0,0,0
2021-06-16T19:00,27,82,14,973.4,6.5,0,0,0,0
2021-06-16T20:00,26.6,83,12,973,7,0,0,0,0
2021-06-16T21:00,26.5,84,10,972.7,8.2,0,0,0,0
2021-06-16T22:00,26.2,85,17,972.4,7.9,0,0,0,0
2021-06-16T23:00,26,87,14,972.5,8.5,0,0,0,0
2021-06-17T00:00,26.5,86,17,972.4,5.2,0,0,0,0
2021-06-17T01:00,27.5,81,18,973.1,9.3,38,6,32,46.2
2021-06-17T02:00,28,79,17,973.6,14.5,153,51,102,157.6
2021-06-17T03:00,29.2,74,2,973.9,12.5,318,156,162,297.7
2021-06-17T04:00,30.8,68,2,974.3,9.7,524,317,207,451.8
2021-06-17T05:00,32,63,10,974.5,6.5,677,440,237,521
2021-06-17T06:00,33,60,33,974.4,3.6,747,488,259,517.6
