ts,rtm_price,normal_rate,dam_net_mw,physical_net_mw,rtm_trade_mw,dsm_over_mw,dsm_under_mw,soc_mwh
2026-08-03 20:00:00,6000.0,7334.0,0.0,0.0,-2.0,2.0,0.0,40.0
2026-08-03 20:15:00,7660.0,8440.0,0.0,0.0,0.0,0.0,0.0,40.0
2026-08-03 20:30:00,7654.0,8436.0,0.0,0.0,0.0,0.0,0.0,40.0
2026-08-03 20:45:00,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,40.0
2026-08-03 21:00:00,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,40.0
2026-08-03 21:15:00,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,40.0
2026-08-03 21:30:00,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,40.0
2026-08-03 21:45:00,10000.0,10000.0,15.89,0.0,-15.89,0.0,0.0,40.0
2026-08-03 22:00:00,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,40.0
2026-08-03 22:15:00,10000.0,10000.0,20.0,0.0,-20.0,0.0,0.0,40.0
2026-08-03 22:30:00,10000.0,10000.0,20.0,0.0,-20.0,0.0,0.0,40.0
2026-08-03 22:45:00,10000.0,10000.0,20.0,0.0,-20.0,0.0,0.0,40.0
2026-08-03 23:00:00,10000.0,10000.0,0.0,20.0,20.0,0.0,0.0,34.73
2026-08-03 23:15:00,10000.0,10000.0,0.0,15.89,15.89,0.0,0.0,30.54
2026-08-03 23:30:00,10000.0,10000.0,0.0,20.0,20.0,0.0,0.0,25.27
2026-08-03 23:45:00,10000.0,10000.0,0.0,20.0,20.0,0.0,0.0,20.0
