ts,forecast_load_mw,forecast_mcp,charge_mw,discharge_mw,soc_mwh,bess_mw
2026-07-24 00:00:00,6354.520876532113,5817.025145514257,0.0,20.0,14.729537,20.0
2026-07-24 00:15:00,6296.33922827198,5806.761152260594,0.0,20.0,9.4590745,20.0
2026-07-24 00:30:00,6233.660616334495,5072.0881845728245,0.0,8.3051975,7.2704628,8.3051975
2026-07-24 00:45:00,6055.241784997912,5144.826708001433,0.0,20.0,2.0,20.0
2026-07-24 01:00:00,5923.325348660958,5008.079227515908,0.0,0.0,2.0,0.0
2026-07-24 01:15:00,5818.5057717726695,4944.061146234216,0.0,0.0,2.0,0.0
2026-07-24 01:30:00,5645.066211304667,4757.634330814263,0.0,0.0,2.0,0.0
2026-07-24 01:45:00,5512.1637161892395,4215.7793637576015,0.0,0.0,2.0,0.0
2026-07-24 02:00:00,5324.572779765791,3875.224704135192,0.0,0.0,2.0,0.0
2026-07-24 02:15:00,5221.219329299523,3786.1887840179393,0.0,0.0,2.0,0.0
2026-07-24 02:30:00,5167.013482756358,3666.7461103775236,0.0,0.0,2.0,0.0
2026-07-24 02:45:00,5075.193158115866,3609.541781795448,20.0,0.0,6.7434165,-20.0
2026-07-24 03:00:00,5018.506941780774,3647.6738827159347,0.0,0.0,6.7434165,0.0
2026-07-24 03:15:00,4949.239482730432,3600.098921133878,20.0,0.0,11.486833,-20.0
2026-07-24 03:30:00,4887.918319754182,3495.818953747249,20.0,0.0,16.230249,-20.0
2026-07-24 03:45:00,4854.586864575747,3411.488021323359,20.0,0.0,20.973666,-20.0
2026-07-24 04:00:00,4792.966499364352,3453.9118929043434,20.0,0.0,25.717082,-20.0
2026-07-24 04:15:00,4735.275004265688,3463.542098654224,20.0,0.0,30.460499,-20.0
2026-07-24 04:30:00,4701.668370195726,3461.0491807057674,20.0,0.0,35.203915,-20.0
2026-07-24 04:45:00,4660.21328885119,3609.8399831163865,20.0,0.0,39.947332,-20.0
2026-07-24 05:00:00,4639.767292967556,3866.3420165979187,0.0,0.0,39.947332,0.0
2026-07-24 05:15:00,4607.003049590413,4293.12074197483,0.0,0.0,39.947332,0.0
2026-07-24 05:30:00,4571.864055254496,5652.6283664976845,0.0,20.0,34.676869,20.0
2026-07-24 05:45:00,4538.927340087491,6368.655204970785,0.0,20.0,29.406406,20.0
2026-07-24 06:00:00,4539.859335774034,6679.67446718973,0.0,20.0,24.135944,20.0
