date,pnl_lp,pnl_greedy,pnl_perfect,price_mape
2026-06-07,279524.9715594196,167774.83857606276,287652.81384737557,34.12380977529415
2026-06-08,253016.7598855559,217156.28080367873,257627.16266140743,17.81990689601399
2026-06-09,257622.70100283105,221502.32136578386,257622.70655453412,14.873879152445213
2026-06-10,252000.90880868142,210957.54253044794,255843.8882673803,18.206076599299085
2026-06-11,253350.8792725905,154960.78298083082,254185.92348380873,19.759834920555175
2026-06-12,189926.61501777705,37541.23308786214,196428.59638349095,16.16119828237027
2026-06-13,203109.30127588956,-21278.53037626366,204218.03184492904,16.358592917821706
2026-06-14,140441.7990787453,509.62587952177273,147943.8502529865,24.012056811158597
2026-06-15,181399.0590202108,20309.381595959712,186870.8362147166,17.98593751409284
2026-06-16,248855.74282934878,118088.8211188303,254623.23739693465,24.271855878298084
2026-06-17,255847.95270180807,212718.25807521603,255849.25381214873,20.495550286017604
2026-06-18,234416.3588651538,195804.2495588913,258682.4349928309,23.413644937508735
2026-06-19,195404.7838824903,203014.94581370562,237301.5838824903,15.656851232085828
2026-06-20,224337.09751139308,186983.7418816745,230324.36857319152,12.65513869570177
2026-06-21,255866.82490862004,234360.28305787896,257258.63490168552,20.29688723394322
2026-06-22,239177.1746860993,209448.8120893243,244231.62718577372,19.14379065166406
2026-06-23,259159.5049815289,213503.44710473157,271382.6011777561,14.098880822166118
2026-06-24,254736.423014983,227028.72712437622,257334.3012237002,17.13646111970127
2026-06-25,252057.2377408485,177362.29144900647,258384.8612259656,15.717192917100622
2026-06-26,255836.94826044573,200795.12750617607,269581.9571362359,33.34856520553496
2026-06-27,224129.1944375651,208643.704189024,252558.108697421,18.458486663540462
2026-06-28,255856.4182465765,214710.16362691886,255858.96602589532,19.21816283086944
2026-06-29,227250.91805993562,204058.80757707387,234795.28366680862,15.213717885092615
2026-06-30,246105.9449858963,207863.99353638128,246105.95109276957,9.67379828187113
2026-07-01,255831.74287406175,226051.7575200458,260657.30214663784,11.977288113010678
2026-07-02,227228.493293681,220970.90418902395,256634.23379134492,15.31616218306085
2026-07-03,242959.89733164926,122344.32834933541,244406.18008468545,16.989758541499963
2026-07-04,190118.6014498929,-18288.363012170827,191712.94937897575,33.78242717874673
2026-07-05,142135.21240906007,-18871.869845890178,145525.88017450963,20.13164284471978
2026-07-06,191682.67034102304,121073.4539762797,193663.99410369474,25.67147654187795
2026-07-07,117017.52138338852,-45845.09901254355,124588.26218991581,25.414246512640382
2026-07-08,175923.09331772075,-74077.94730088972,222612.29559209303,35.49733255792996
2026-07-09,196735.87864680815,-49894.696199141195,207135.90142451393,24.165165802658663
2026-07-10,146420.785703213,83782.66596876999,166820.36847871935,28.829485843027907
2026-07-11,202752.87658591196,92336.22868933738,209337.57361599227,17.644042517170924
2026-07-12,104086.70437270924,43850.22800743989,105990.32838829655,22.98671347284408
2026-07-13,253485.60270180803,212974.4986373211,350936.0198782496,40.78438486094353
2026-07-14,233799.9467823624,192101.71882301965,248075.3865575412,31.798433385894477
2026-07-15,240601.22572870314,203799.40202537103,242314.44831691813,17.156998763725916
2026-07-19,242231.02930726355,208506.7831499662,243238.3294415302,24.442648868483154
2026-07-20,226670.689876494,191457.88525777013,226670.689876494,13.917044546616403
2026-07-21,230016.71416650206,196805.11013756582,230016.71416650206,14.089979634187562
2026-07-22,238442.76663753804,197658.5028217198,291840.7602112407,35.692578756385146
2026-07-24,180839.9880687348,141055.13177165407,195371.80542291974,11.567830376446093
2026-07-25,159197.557324805,126456.42650484631,188380.453178925,11.562289401701301
2026-07-30,332421.5796043102,187865.02042633604,349195.1409268402,12.817638437161193
2026-07-31,313436.76009375445,164892.92244615266,329270.28704368946,14.446032913068988
2026-08-01,314539.6292950906,207886.75416343164,331105.93407767476,15.730787784179178
2026-08-04,323393.9215596682,175366.12355775503,350831.51250270614,23.761488530352484
2026-08-05,220516.30659301882,173430.73333271843,242771.62222431635,20.546698631504466
2026-08-06,188519.21132294118,157062.5624218429,194431.7235939412,15.454479419154826
