ts,forecast_load_mw,forecast_mcp,charge_mw,discharge_mw,soc_mwh,bess_mw
2026-08-12 00:00:00,5913.690090402143,3787.267094488107,0.0,0.0,20.0,0.0
2026-08-12 00:15:00,5830.679045591195,3684.074670029903,0.0,0.0,20.0,0.0
2026-08-12 00:30:00,5788.609843797044,3684.074670029903,0.0,0.0,20.0,0.0
2026-08-12 00:45:00,5732.549694245895,3684.074670029903,0.0,0.0,20.0,0.0
2026-08-12 01:00:00,5659.0494923916085,3681.5285480418343,0.0,0.0,20.0,0.0
2026-08-12 01:15:00,5560.0974015894835,3570.5630053676286,0.0,0.0,20.0,0.0
2026-08-12 01:30:00,5489.962633521605,3459.0208748269088,0.0,0.0,20.0,0.0
2026-08-12 01:45:00,5408.928865235607,3258.1739521973,0.0,0.0,20.0,0.0
2026-08-12 02:00:00,5307.500541836666,3127.477381605361,0.0,0.0,20.0,0.0
2026-08-12 02:15:00,5254.212382321314,2951.3911087585593,0.0,0.0,20.0,0.0
2026-08-12 02:30:00,5199.308598108187,2950.554823873304,0.0,0.0,20.0,0.0
2026-08-12 02:45:00,5141.685168385794,2950.554823873304,0.0,0.0,20.0,0.0
2026-08-12 03:00:00,5087.341878492555,2816.613867726981,0.0,0.0,20.0,0.0
2026-08-12 03:15:00,5007.587944084732,2769.215385604766,0.0,0.0,20.0,0.0
2026-08-12 03:30:00,4974.563999615057,2769.215385604766,0.0,0.0,20.0,0.0
2026-08-12 03:45:00,4892.412695442985,2762.9282061211215,0.0,0.0,20.0,0.0
2026-08-12 04:00:00,4855.439812157426,2760.4667590298786,0.0,0.0,20.0,0.0
2026-08-12 04:15:00,4827.404585003203,2776.4190563311513,0.0,0.0,20.0,0.0
2026-08-12 04:30:00,4796.8722683684455,2776.4190563311513,0.0,0.0,20.0,0.0
2026-08-12 04:45:00,4728.178612700081,2846.8702162360496,0.0,0.0,20.0,0.0
2026-08-12 05:00:00,4693.771613667906,2925.449397634155,0.0,0.0,20.0,0.0
2026-08-12 05:15:00,4682.320780567271,2993.32871228728,0.0,0.0,20.0,0.0
2026-08-12 05:30:00,4645.933645362598,3217.481837861253,0.0,0.0,20.0,0.0
2026-08-12 05:45:00,4623.325499867706,3329.0695687581265,0.0,0.0,20.0,0.0
2026-08-12 06:00:00,4624.207381858222,3899.0202958291297,0.0,20.0,14.729537,20.0
2026-08-12 06:15:00,4657.56191759915,3986.120821837767,0.0,20.0,9.4590745,20.0
2026-08-12 06:30:00,4683.732828216426,3915.7492940926136,0.0,20.0,4.1886117,20.0
2026-08-12 06:45:00,4712.551859004333,3830.376675912613,0.0,8.3051975,2.0,8.3051975
2026-08-12 07:00:00,4726.484467012974,3666.5695023627677,0.0,0.0,2.0,0.0
2026-08-12 07:15:00,4741.855628909585,3421.90828152436,0.0,0.0,2.0,0.0
2026-08-12 07:30:00,4776.178245753378,3159.4108833134637,0.0,0.0,2.0,0.0
2026-08-12 07:45:00,4804.237650513262,3032.111046021626,0.0,0.0,2.0,0.0
2026-08-12 08:00:00,4829.247877371942,2598.1578265986946,0.0,0.0,2.0,0.0
2026-08-12 08:15:00,4915.882716022454,2261.7701366527353,0.0,0.0,2.0,0.0
2026-08-12 08:30:00,5046.8775308685545,2169.2933991753152,0.0,0.0,2.0,0.0
2026-08-12 08:45:00,5078.323534265425,2067.9301521050565,0.0,0.0,2.0,0.0
2026-08-12 09:00:00,5120.417334223589,1922.9639606288831,0.0,0.0,2.0,0.0
2026-08-12 09:15:00,5230.105155668021,1604.1213536031416,0.0,0.0,2.0,0.0
2026-08-12 09:30:00,5363.490336513773,1564.2716334930333,0.0,0.0,2.0,0.0
2026-08-12 09:45:00,5442.717810453293,1596.195074162401,0.0,0.0,2.0,0.0
2026-08-12 10:00:00,5498.658585500721,1571.713516666354,0.0,0.0,2.0,0.0
2026-08-12 10:15:00,5596.371649628395,1547.7897167787196,0.0,0.0,2.0,0.0
2026-08-12 10:30:00,5663.884872972449,1658.5918563243197,0.0,0.0,2.0,0.0
2026-08-12 10:45:00,5720.689345626993,1658.5918563243197,0.0,0.0,2.0,0.0
2026-08-12 11:00:00,5738.011485770566,1491.4441495247781,0.0,0.0,2.0,0.0
2026-08-12 11:15:00,5803.629958131086,1490.1851721302492,0.0,0.0,2.0,0.0
2026-08-12 11:30:00,5848.6614450957395,1283.4543186187666,20.0,0.0,6.7434165,-20.0
2026-08-12 11:45:00,5936.550004789406,1290.0515114769921,0.0,0.0,6.7434165,0.0
2026-08-12 12:00:00,5948.309434835001,1290.0515114769921,0.22206812,0.0,6.7960846,-0.22206812
2026-08-12 12:15:00,5948.303552617257,1290.0515114769921,20.0,0.0,11.539501,-20.0
2026-08-12 12:30:00,5971.545144216969,1283.4543186187666,20.0,0.0,16.282918,-20.0
2026-08-12 12:45:00,5970.535012480451,1283.4543186187666,20.0,0.0,21.026334,-20.0
2026-08-12 13:00:00,5912.478420761541,1222.2473288718945,20.0,0.0,25.769751,-20.0
2026-08-12 13:15:00,5918.232856627295,1222.2473288718945,20.0,0.0,30.513167,-20.0
2026-08-12 13:30:00,5907.060343900103,1283.4543186187666,20.0,0.0,35.256584,-20.0
2026-08-12 13:45:00,5996.655434713888,1290.0515114769921,20.0,0.0,40.0,-20.0
2026-08-12 14:00:00,6063.103304151814,1493.917926749179,0.0,0.0,40.0,0.0
2026-08-12 14:15:00,6169.28193099604,1496.0969215603359,0.0,0.0,40.0,0.0
2026-08-12 14:30:00,6290.688853230418,1571.7566035441862,0.0,0.0,40.0,0.0
2026-08-12 14:45:00,6304.234406565141,1690.279964894694,0.0,0.0,40.0,0.0
2026-08-12 15:00:00,6304.0028582184195,1674.238187231821,0.0,0.0,40.0,0.0
2026-08-12 15:15:00,6285.099457978107,1814.3229065957169,0.0,0.0,40.0,0.0
2026-08-12 15:30:00,6311.941793238989,1747.9319423681277,0.0,0.0,40.0,0.0
2026-08-12 15:45:00,6282.592276061511,1747.4300934127657,0.0,0.0,40.0,0.0
2026-08-12 16:00:00,6242.960866905665,2236.3276472865123,0.0,0.0,40.0,0.0
2026-08-12 16:15:00,6222.817977339426,2247.149920723868,0.0,0.0,40.0,0.0
2026-08-12 16:30:00,6202.092838275388,2619.4099871002277,0.0,0.0,40.0,0.0
2026-08-12 16:45:00,6152.443186609747,2731.1353219377856,0.0,0.0,40.0,0.0
2026-08-12 17:00:00,6121.174473740503,2821.2660189778294,0.0,0.0,40.0,0.0
2026-08-12 17:15:00,6128.792365246561,2817.9784516003956,0.0,0.0,40.0,0.0
2026-08-12 17:30:00,6124.045112604509,2944.2626170704866,0.0,0.0,40.0,0.0
2026-08-12 17:45:00,6102.021902026615,3048.053377515732,0.0,0.0,40.0,0.0
2026-08-12 18:00:00,6085.344828270677,3133.2084049314003,0.0,0.0,40.0,0.0
2026-08-12 18:15:00,6068.438825627086,3250.392986321674,0.0,0.0,40.0,0.0
2026-08-12 18:30:00,6056.647509309735,3975.1185743997403,0.0,0.0,40.0,0.0
2026-08-12 18:45:00,6081.538143654644,6316.964520986334,0.0,0.0,40.0,0.0
2026-08-12 19:00:00,6069.283562099595,9756.682489444507,0.0,0.0,40.0,0.0
2026-08-12 19:15:00,6087.234772851032,9758.15433989026,0.0,0.0,40.0,0.0
2026-08-12 19:30:00,6130.421229255141,9752.340473568354,0.0,0.0,40.0,0.0
2026-08-12 19:45:00,6166.480750894658,9752.340473568354,0.0,0.0,40.0,0.0
2026-08-12 20:00:00,6195.903851535797,9758.690984068122,0.0,0.0,40.0,0.0
2026-08-12 20:15:00,6212.8893189033215,9758.690984068122,0.0,0.0,40.0,0.0
2026-08-12 20:30:00,6233.294797069698,9759.540580824494,0.0,0.0,40.0,0.0
2026-08-12 20:45:00,6245.777673592799,9766.373933097446,0.0,20.0,34.729537,20.0
2026-08-12 21:00:00,6238.716216851951,9764.949545683692,0.0,20.0,29.459074,20.0
2026-08-12 21:15:00,6255.336726866956,9764.949545683692,0.0,20.0,24.188612,20.0
2026-08-12 21:30:00,6377.939640082386,9764.949545683692,0.0,20.0,18.918149,20.0
2026-08-12 21:45:00,6438.545496751921,9764.949545683692,0.0,20.0,13.647686,20.0
2026-08-12 22:00:00,6504.459118939968,9764.949545683692,0.0,11.894664,10.513167,11.894664
2026-08-12 22:15:00,6685.500974250015,9763.111155701132,0.0,0.0,10.513167,0.0
2026-08-12 22:30:00,6720.400203595343,9763.111155701132,0.0,0.0,10.513167,0.0
2026-08-12 22:45:00,6776.265712460303,9763.111155701132,0.0,0.0,10.513167,0.0
2026-08-12 23:00:00,6753.904962221311,9655.167405095473,0.0,0.0,10.513167,0.0
2026-08-12 23:15:00,6707.253704510484,9079.493199753593,0.0,0.0,10.513167,0.0
2026-08-12 23:30:00,6721.842306507834,7067.604483239769,20.0,0.0,15.256584,-20.0
2026-08-12 23:45:00,6702.059833462216,7005.399735552921,20.0,0.0,20.0,-20.0
